ts,cell_id,throughput,latency,jitter,packet_loss,cell_load,is_anomaly,source,ingested_at
2026-07-28 23:58:33.031036+00:00,cell_001,152.08,14.38,2.7,0.15,22.59,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-28 23:59:33.031036+00:00,cell_001,143.43,15.71,3.44,0.34,42.61,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:00:33.031036+00:00,cell_001,145.41,16.52,3.22,0.52,25.18,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:01:33.031036+00:00,cell_001,149.73,15.38,3.18,0.58,36.32,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:02:33.031036+00:00,cell_001,148.43,14.03,3.0,0.5,22.67,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:03:33.031036+00:00,cell_001,149.36,13.42,3.28,0.53,28.19,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:04:33.031036+00:00,cell_001,146.88,15.44,3.24,0.49,29.25,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:05:33.031036+00:00,cell_001,152.11,16.34,3.26,0.39,38.11,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:06:33.031036+00:00,cell_001,151.83,15.24,2.9,0.72,32.62,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:07:33.031036+00:00,cell_001,149.73,15.92,3.42,0.82,25.57,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:08:33.031036+00:00,cell_001,152.94,17.27,3.15,0.44,29.67,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:09:33.031036+00:00,cell_001,150.99,15.52,2.9,0.22,36.8,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:10:33.031036+00:00,cell_001,147.03,13.58,3.22,0.41,36.08,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:11:33.031036+00:00,cell_001,150.74,14.72,3.15,0.47,27.45,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:12:33.031036+00:00,cell_001,146.79,16.04,3.4,0.01,23.41,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:13:33.031036+00:00,cell_001,152.32,14.42,3.21,0.72,27.52,False,batch,2026-08-11 23:58:34.403230+00:00
2026-07-29 00:14:33.031036+00:00,cell_001,149.56,16.17,2.95,0.33,34.1,False,batch,2026-08-11 23:58:34.403230+00:00
