ts,cell_id,throughput,latency,jitter,packet_loss,cell_load,is_missing,is_anomaly
2026-08-15 15:47:00+00:00,cell_001,103.13,19.95,5.14,0.76,92.22,False,False
2026-08-15 15:48:00+00:00,cell_001,99.81,21.07,4.58,0.4,95.31,False,False
2026-08-15 15:49:00+00:00,cell_001,100.55,22.59,5.23,0.68,88.7,False,False
2026-08-15 15:50:00+00:00,cell_001,103.18,20.82,5.18,0.45,83.72,False,False
2026-08-15 15:51:00+00:00,cell_001,99.09,21.19,4.98,0.46,91.54,False,False
2026-08-15 15:52:00+00:00,cell_001,99.77,21.33,4.33,0.94,84.94,False,False
2026-08-15 15:53:00+00:00,cell_001,102.16,19.47,5.28,0.77,93.51,False,False
2026-08-15 15:54:00+00:00,cell_001,105.68,20.47,4.83,0.71,93.83,False,False
2026-08-15 15:55:00+00:00,cell_001,104.17,20.43,4.75,0.66,100.0,False,False
2026-08-15 15:56:00+00:00,cell_001,105.06,18.46,4.72,0.81,97.37,False,False
2026-08-15 15:57:00+00:00,cell_001,102.11,21.36,4.49,0.65,91.6,False,False
2026-08-15 15:58:00+00:00,cell_001,106.49,19.63,5.22,0.6,88.86,False,False
2026-08-15 15:59:00+00:00,cell_001,96.87,21.23,5.78,0.96,94.44,False,False
2026-08-15 16:00:00+00:00,cell_001,108.24,19.78,4.9,0.63,91.44,False,False
2026-08-15 16:01:00+00:00,cell_001,108.72,22.57,5.31,1.02,87.46,False,False
2026-08-15 16:02:00+00:00,cell_001,103.72,20.24,5.04,0.64,79.38,False,False
2026-08-15 16:03:00+00:00,cell_001,104.94,22.43,5.14,0.9,100.0,False,False
2026-08-15 16:04:00+00:00,cell_001,102.41,20.32,5.04,0.8,94.83,False,False
2026-08-15 16:05:00+00:00,cell_001,101.99,20.43,5.29,0.86,92.6,False,False
2026-08-15 16:06:00+00:00,cell_001,100.87,22.04,4.69,0.8,89.56,False,False
2026-08-15 16:07:00+00:00,cell_001,102.65,19.54,5.08,0.89,98.65,False,False
2026-08-15 16:08:00+00:00,cell_001,104.55,20.5,5.39,1.04,93.48,False,False
2026-08-15 16:09:00+00:00,cell_001,104.23,20.98,5.25,0.57,81.97,False,False
2026-08-15 16:10:00+00:00,cell_001,109.02,20.83,5.14,1.04,87.53,False,False
2026-08-15 16:11:00+00:00,cell_001,103.46,20.46,5.06,0.68,92.48,False,False
2026-08-15 16:12:00+00:00,cell_001,98.78,20.31,4.92,0.38,94.62,False,False
2026-08-15 16:13:00+00:00,cell_001,108.27,21.24,4.92,0.88,87.01,False,False
2026-08-15 16:14:00+00:00,cell_001,99.77,20.56,4.56,0.91,96.0,False,False
2026-08-15 16:15:00+00:00,cell_001,101.84,21.34,5.17,0.84,81.59,False,False
2026-08-15 16:16:00+00:00,cell_001,104.43,20.75,5.43,0.67,86.83,False,False
2026-08-15 16:17:00+00:00,cell_001,104.96,21.0,5.1,0.55,86.93,False,False
2026-08-15 16:18:00+00:00,cell_001,99.47,21.47,5.02,0.63,92.64,False,False
2026-08-15 16:19:00+00:00,cell_001,101.66,20.02,5.19,0.77,94.29,False,False
2026-08-15 16:20:00+00:00,cell_001,99.55,21.42,4.37,0.68,94.06,False,False
2026-08-15 16:21:00+00:00,cell_001,105.95,20.15,4.85,0.53,80.59,False,False
2026-08-15 16:22:00+00:00,cell_001,107.73,18.89,4.98,0.68,88.14,False,False
2026-08-15 16:23:00+00:00,cell_001,100.61,19.95,4.48,0.57,79.64,False,False
2026-08-15 16:24:00+00:00,cell_001,107.36,19.54,5.04,0.6,87.38,False,False
2026-08-15 16:25:00+00:00,cell_001,107.26,20.63,4.43,0.88,95.4,False,False
2026-08-15 16:26:00+00:00,cell_001,102.58,19.96,5.19,0.5,97.07,False,False
2026-08-15 16:27:00+00:00,cell_001,98.71,20.36,5.05,0.8,89.23,False,False
2026-08-15 16:28:00+00:00,cell_001,101.54,21.23,4.92,0.62,88.16,False,False
2026-08-15 16:29:00+00:00,cell_001,103.06,21.69,5.2,0.79,85.72,False,False
2026-08-15 16:30:00+00:00,cell_001,109.57,20.49,5.02,0.55,86.36,False,False
2026-08-15 16:31:00+00:00,cell_001,104.69,21.27,5.11,0.69,93.62,False,False
2026-08-15 16:32:00+00:00,cell_001,102.12,19.99,5.05,0.56,81.89,False,False
2026-08-15 16:33:00+00:00,cell_001,105.69,18.6,4.7,0.79,84.75,False,False
2026-08-15 16:34:00+00:00,cell_001,101.45,18.97,5.43,0.36,86.05,False,False
2026-08-15 16:35:00+00:00,cell_001,106.98,19.94,5.33,0.71,82.28,False,False
2026-08-15 16:36:00+00:00,cell_001,102.61,20.92,5.08,0.46,88.22,False,False
2026-08-15 16:37:00+00:00,cell_001,103.14,19.92,4.99,0.6,93.31,False,False
2026-08-15 16:38:00+00:00,cell_001,106.86,21.28,5.17,0.66,88.58,False,False
2026-08-15 16:39:00+00:00,cell_001,111.09,21.92,5.32,0.87,81.78,False,False
2026-08-15 16:40:00+00:00,cell_001,112.53,19.18,5.51,0.39,81.4,False,False
2026-08-15 16:41:00+00:00,cell_001,102.92,22.19,4.77,0.35,78.66,False,False
2026-08-15 16:42:00+00:00,cell_001,104.35,18.41,5.24,0.95,84.32,False,False
2026-08-15 16:43:00+00:00,cell_001,107.79,21.88,4.9,0.65,80.57,False,False
2026-08-15 16:44:00+00:00,cell_001,109.85,19.99,4.44,0.37,85.82,False,False
2026-08-15 16:45:00+00:00,cell_001,99.95,19.78,5.17,0.64,80.97,False,False
2026-08-15 16:46:00+00:00,cell_001,106.81,19.99,5.36,0.62,77.31,False,False
2026-08-15 16:47:00+00:00,cell_001,105.19,19.19,5.2,0.6,74.51,False,False
2026-08-15 16:48:00+00:00,cell_001,100.98,21.47,4.86,0.76,87.21,False,False
2026-08-15 16:49:00+00:00,cell_001,102.85,19.27,5.02,0.38,76.99,False,False
2026-08-15 16:50:00+00:00,cell_001,105.26,19.38,5.11,0.72,86.29,False,False
2026-08-15 16:51:00+00:00,cell_001,107.24,18.55,5.07,0.62,80.42,False,False
2026-08-15 16:52:00+00:00,cell_001,110.19,19.19,5.26,0.7,84.86,False,False
2026-08-15 16:53:00+00:00,cell_001,108.34,19.21,5.17,0.89,83.18,False,False
2026-08-15 16:54:00+00:00,cell_001,110.22,19.13,4.71,0.91,84.03,False,False
2026-08-15 16:55:00+00:00,cell_001,107.56,19.71,4.89,1.03,87.93,False,False
2026-08-15 16:56:00+00:00,cell_001,105.47,18.75,4.73,0.33,79.48,False,False
2026-08-15 16:57:00+00:00,cell_001,107.14,21.45,4.92,0.78,90.33,False,False
2026-08-15 16:58:00+00:00,cell_001,109.89,19.69,4.31,0.86,86.58,False,False
2026-08-15 16:59:00+00:00,cell_001,111.0,20.2,5.45,0.59,80.94,False,False
2026-08-15 17:00:00+00:00,cell_001,107.57,20.68,4.63,0.7,81.33,False,False
2026-08-15 17:01:00+00:00,cell_001,105.33,21.83,4.71,0.97,82.93,False,False
2026-08-15 17:02:00+00:00,cell_001,109.23,20.7,4.88,0.66,80.09,False,False
2026-08-15 17:03:00+00:00,cell_001,109.77,19.53,4.44,0.96,73.39,False,False
2026-08-15 17:04:00+00:00,cell_001,112.14,18.69,4.75,0.69,77.06,False,False
2026-08-15 17:05:00+00:00,cell_001,106.51,20.09,4.89,0.79,76.91,False,False
2026-08-15 17:06:00+00:00,cell_001,106.65,20.8,5.33,0.89,80.7,False,False
2026-08-15 17:07:00+00:00,cell_001,111.03,19.87,4.88,0.48,75.46,False,False
2026-08-15 17:08:00+00:00,cell_001,107.65,19.78,4.71,0.79,85.57,False,False
2026-08-15 17:09:00+00:00,cell_001,107.63,19.91,4.49,0.6,81.93,False,False
2026-08-15 17:10:00+00:00,cell_001,112.85,17.81,5.47,0.94,79.07,False,False
2026-08-15 17:11:00+00:00,cell_001,105.09,19.82,4.84,0.64,76.92,False,False
2026-08-15 17:12:00+00:00,cell_001,115.48,20.39,4.84,0.63,80.98,False,False
2026-08-15 17:13:00+00:00,cell_001,107.58,19.6,4.4,0.53,85.44,False,False
2026-08-15 17:14:00+00:00,cell_001,112.13,20.75,4.97,0.69,71.2,False,False
2026-08-15 17:15:00+00:00,cell_001,109.31,20.77,4.63,0.81,72.96,False,False
2026-08-15 17:16:00+00:00,cell_001,110.56,19.1,5.24,0.71,75.17,False,False
2026-08-15 17:17:00+00:00,cell_001,109.07,20.03,4.94,1.14,73.63,False,False
2026-08-15 17:18:00+00:00,cell_001,112.54,19.62,4.83,0.61,72.81,False,False
2026-08-15 17:19:00+00:00,cell_001,109.04,17.53,4.39,0.52,79.96,False,False
2026-08-15 17:20:00+00:00,cell_001,108.47,19.36,4.76,0.67,79.58,False,False
2026-08-15 17:21:00+00:00,cell_001,115.74,18.5,4.72,0.77,77.74,False,False
2026-08-15 17:22:00+00:00,cell_001,110.5,19.65,4.81,0.44,80.5,False,False
2026-08-15 17:23:00+00:00,cell_001,108.5,20.19,4.18,0.96,78.96,False,False
2026-08-15 17:24:00+00:00,cell_001,106.17,19.27,4.5,0.64,75.42,False,False
2026-08-15 17:25:00+00:00,cell_001,116.35,18.58,4.62,1.03,76.92,False,False
2026-08-15 17:26:00+00:00,cell_001,109.21,19.7,4.91,0.96,80.02,False,False
2026-08-15 17:27:00+00:00,cell_001,117.16,21.89,4.18,0.83,72.72,False,False
2026-08-15 17:28:00+00:00,cell_001,112.29,17.26,5.17,0.69,80.14,False,False
2026-08-15 17:29:00+00:00,cell_001,111.63,19.66,5.12,0.49,62.46,False,False
2026-08-15 17:30:00+00:00,cell_001,111.83,18.86,4.45,0.57,78.22,False,False
