espace,n_features,n_estimators,max_samples,max_features,pr_auc_validation,duree_s
contrat_actuel,23,600,4096,1.0,0.6287,3.9
contrat_actuel,23,1000,2048,0.8,0.6147,8.3
contrat_actuel,23,600,1024,0.6,0.614,4.3
contrat_actuel,23,300,auto,1.0,0.6049,1.5
contrat_actuel,23,300,256,1.0,0.6049,1.5
discriminants,14,600,4096,1.0,0.6012,4.7
discriminants,14,600,1024,0.6,0.599,4.4
contrat_actuel,23,600,1024,1.0,0.5981,3.4
sans_cell_load,18,600,4096,1.0,0.5969,3.7
riche,48,300,auto,1.0,0.5856,1.7
riche,48,300,256,1.0,0.5856,1.6
sans_cell_load,18,600,1024,1.0,0.5837,3.9
sans_cell_load,18,1000,2048,0.8,0.5837,7.3
discriminants,14,1000,2048,0.8,0.5835,8.5
riche,48,1000,2048,0.8,0.5826,15.7
sans_cell_load,18,600,1024,0.6,0.5797,3.9
riche,48,600,1024,0.6,0.5764,7.2
discriminants,14,300,auto,1.0,0.5749,1.5
discriminants,14,300,256,1.0,0.5749,1.5
discriminants,14,600,1024,1.0,0.5748,4.5
sans_cell_load,18,300,256,1.0,0.5747,1.9
sans_cell_load,18,300,auto,1.0,0.5747,1.9
riche,48,600,1024,1.0,0.5744,4.3
riche,48,600,4096,1.0,0.5731,4.0
relatif,17,1000,2048,0.8,0.5571,16.1
relatif,17,600,1024,0.6,0.5422,5.0
relatif,17,600,4096,1.0,0.541,4.5
relatif,17,600,1024,1.0,0.5377,3.6
relatif,17,300,auto,1.0,0.4558,1.6
relatif,17,300,256,1.0,0.4558,1.6
