configuration,kpi,horizon_min,mae,gain_vs_persistance_pct
actuelle,throughput,5,2.55385,7.79
actuelle,throughput,15,2.55409,12.41
actuelle,throughput,30,2.57673,22.52
actuelle,latency,5,1.04096,7.75
actuelle,latency,15,1.09691,19.2
actuelle,latency,30,1.177,22.76
actuelle,jitter,5,0.25206,8.63
actuelle,jitter,15,0.26214,10.14
actuelle,jitter,30,0.26295,16.12
actuelle,packet_loss,5,0.19205,15.86
actuelle,packet_loss,15,0.19234,17.97
actuelle,packet_loss,30,0.19364,19.0
actuelle,cell_load,5,3.81556,8.4
actuelle,cell_load,15,3.8045,12.25
actuelle,cell_load,30,3.82,21.99
optimisée,throughput,5,2.54006,8.29
optimisée,throughput,15,2.55502,12.38
optimisée,throughput,30,2.5807,22.4
optimisée,latency,5,1.03055,8.67
optimisée,latency,15,1.09145,19.61
optimisée,latency,30,1.16614,23.47
optimisée,jitter,5,0.25265,8.42
optimisée,jitter,15,0.26217,10.13
optimisée,jitter,30,0.26253,16.25
optimisée,packet_loss,5,0.19145,16.12
optimisée,packet_loss,15,0.19107,18.51
optimisée,packet_loss,30,0.19315,19.21
optimisée,cell_load,5,3.81651,8.38
optimisée,cell_load,15,3.80119,12.33
optimisée,cell_load,30,3.81982,21.99
