perimetre,modele,kpi,unite,horizon_min,mae,rmse,mape,smape,biais,n,gain_mae_vs_persistance_pct
origines_communes,persistance,throughput,Mbit/s,5,2.4886,3.1995,2.7967,2.7864,0.1352,600,-0.0
origines_communes,persistance,throughput,Mbit/s,15,2.9555,4.087,3.2608,3.2738,0.099,600,-0.0
origines_communes,persistance,throughput,Mbit/s,30,3.3045,4.8106,3.6879,3.6699,0.2813,600,-0.0
origines_communes,persistance,latency,ms,5,1.0908,2.996,6.5901,6.2182,-0.0237,600,0.0
origines_communes,persistance,latency,ms,15,1.3483,3.9347,7.6985,7.1879,-0.1716,600,0.0
origines_communes,persistance,latency,ms,30,1.4964,4.3334,8.5642,7.8667,0.1476,600,-0.0
origines_communes,persistance,jitter,ms,5,0.2615,0.3319,6.1007,6.0774,-0.0147,600,0.02
origines_communes,persistance,jitter,ms,15,0.2926,0.6648,6.9006,6.553,0.0165,600,0.01
origines_communes,persistance,jitter,ms,30,0.3214,0.896,7.0441,6.767,-0.0284,600,-0.01
origines_communes,persistance,packet_loss,%,5,0.18,0.2252,140725.8262,32.1442,0.0101,600,0.01
origines_communes,persistance,packet_loss,%,15,0.1818,0.2442,121370.3616,29.7378,-0.0065,600,-0.01
origines_communes,persistance,packet_loss,%,30,0.1869,0.2521,45.1198,31.0877,0.0043,600,-0.0
origines_communes,persistance,cell_load,%,5,4.1705,5.267,8.0118,7.8189,-0.143,600,-0.0
origines_communes,persistance,cell_load,%,15,4.7428,5.9973,8.6413,8.6147,-0.7522,600,-0.0
origines_communes,persistance,cell_load,%,30,5.0772,6.3668,9.5118,9.3816,-0.4003,600,-0.0
origines_communes,moyenne_mobile_15m,throughput,Mbit/s,5,2.4241,3.0816,2.7095,2.6986,0.1593,600,2.59
origines_communes,moyenne_mobile_15m,throughput,Mbit/s,15,2.8859,3.963,3.162,3.1702,0.1231,600,2.35
origines_communes,moyenne_mobile_15m,throughput,Mbit/s,30,3.2831,4.7185,3.6436,3.6242,0.3054,600,0.65
origines_communes,moyenne_mobile_15m,latency,ms,5,1.21,3.4927,6.9479,6.502,-0.0195,600,-10.93
origines_communes,moyenne_mobile_15m,latency,ms,15,1.3966,4.2526,7.7109,7.2191,-0.1675,600,-3.58
origines_communes,moyenne_mobile_15m,latency,ms,30,1.4727,4.1874,8.3432,7.7746,0.1517,600,1.58
origines_communes,moyenne_mobile_15m,jitter,ms,5,0.2459,0.3082,5.7316,5.7128,-0.0216,600,5.98
origines_communes,moyenne_mobile_15m,jitter,ms,15,0.2774,0.616,6.5246,6.2221,0.0096,600,5.2
origines_communes,moyenne_mobile_15m,jitter,ms,30,0.3064,0.8593,6.6974,6.4552,-0.0352,600,4.65
origines_communes,moyenne_mobile_15m,packet_loss,%,5,0.1742,0.2219,164280.5772,30.9093,0.0095,600,3.23
origines_communes,moyenne_mobile_15m,packet_loss,%,15,0.1766,0.245,110369.1655,28.4801,-0.0072,600,2.85
origines_communes,moyenne_mobile_15m,packet_loss,%,30,0.1767,0.2413,42.9341,29.5033,0.0036,600,5.46
origines_communes,moyenne_mobile_15m,cell_load,%,5,4.0786,5.1438,7.7785,7.5976,-0.1304,600,2.2
origines_communes,moyenne_mobile_15m,cell_load,%,15,4.6978,5.8737,8.5438,8.4952,-0.7396,600,0.95
origines_communes,moyenne_mobile_15m,cell_load,%,30,5.1751,6.396,9.6911,9.5198,-0.3878,600,-1.93
origines_communes,naif_saisonnier_24h,throughput,Mbit/s,5,3.3514,4.7413,3.7881,3.7835,-0.1451,600,-34.67
origines_communes,naif_saisonnier_24h,throughput,Mbit/s,15,3.5294,4.5264,3.9621,3.9781,-0.0344,600,-19.42
origines_communes,naif_saisonnier_24h,throughput,Mbit/s,30,3.4852,4.7949,3.9204,3.9153,-0.0335,600,-5.47
origines_communes,naif_saisonnier_24h,latency,ms,5,1.6546,4.4645,9.4613,9.2226,-0.1987,600,-51.69
origines_communes,naif_saisonnier_24h,latency,ms,15,1.6868,5.0083,9.4194,9.0669,-0.2166,600,-25.1
origines_communes,naif_saisonnier_24h,latency,ms,30,1.5187,3.8097,9.1196,8.646,0.021,600,-1.49
origines_communes,naif_saisonnier_24h,jitter,ms,5,0.349,0.6861,7.7986,7.7796,-0.0107,600,-33.44
origines_communes,naif_saisonnier_24h,jitter,ms,15,0.3556,0.507,8.366,8.2312,0.0185,600,-21.52
origines_communes,naif_saisonnier_24h,jitter,ms,30,0.3761,0.7931,8.2559,8.2379,-0.0146,600,-17.04
origines_communes,naif_saisonnier_24h,packet_loss,%,5,0.252,0.318,203410.2992,44.6745,-0.005,600,-39.99
origines_communes,naif_saisonnier_24h,packet_loss,%,15,0.234,0.3154,95046.4509,38.7062,-0.0045,600,-28.73
origines_communes,naif_saisonnier_24h,packet_loss,%,30,0.2394,0.3178,51.9001,41.6255,-0.0013,600,-28.09
origines_communes,naif_saisonnier_24h,cell_load,%,5,5.0597,6.5948,9.5209,9.3158,0.0052,600,-21.32
origines_communes,naif_saisonnier_24h,cell_load,%,15,5.2403,6.7251,9.7085,9.5316,-0.0358,600,-10.49
origines_communes,naif_saisonnier_24h,cell_load,%,30,5.5299,7.0341,10.6517,10.3985,0.2432,600,-8.92
origines_communes,arima,throughput,Mbit/s,5,2.4344,3.1156,2.7153,2.705,0.1413,600,2.18
origines_communes,arima,throughput,Mbit/s,15,2.9562,4.091,3.231,3.2425,0.0946,600,-0.03
origines_communes,arima,throughput,Mbit/s,30,3.353,4.8428,3.7142,3.6973,0.2759,600,-1.47
origines_communes,arima,latency,ms,5,1.0722,2.2805,6.4858,6.3123,-0.0811,600,1.71
origines_communes,arima,latency,ms,15,1.3582,3.5705,7.6973,7.385,-0.1928,600,-0.73
origines_communes,arima,latency,ms,30,1.5485,3.7042,9.0992,8.5802,0.1592,600,-3.48
origines_communes,arima,jitter,ms,5,0.2472,0.3168,5.7179,5.7049,-0.0216,600,5.48
origines_communes,arima,jitter,ms,15,0.2883,0.6685,6.7751,6.4389,0.0107,600,1.48
origines_communes,arima,jitter,ms,30,0.32,0.8998,7.0029,6.7146,-0.0327,600,0.42
origines_communes,arima,packet_loss,%,5,0.1886,0.2399,190701.1082,32.6579,0.0193,600,-4.77
origines_communes,arima,packet_loss,%,15,0.1878,0.2525,119263.5981,29.9757,0.0113,600,-3.32
origines_communes,arima,packet_loss,%,30,0.1907,0.2547,54.4059,31.4465,0.0225,600,-2.03
origines_communes,arima,cell_load,%,5,4.0767,5.1347,7.7981,7.6063,-0.1604,600,2.25
origines_communes,arima,cell_load,%,15,4.6822,5.8775,8.5006,8.4623,-0.7696,600,1.28
origines_communes,arima,cell_load,%,30,5.1747,6.3923,9.6801,9.5205,-0.4178,600,-1.92
origines_communes,xgboost,throughput,Mbit/s,5,2.3053,3.0341,2.59,2.5779,0.0199,600,7.36
origines_communes,xgboost,throughput,Mbit/s,15,2.5626,3.3168,2.8444,2.85,-0.1607,600,13.29
origines_communes,xgboost,throughput,Mbit/s,30,2.5679,3.6144,2.886,2.8589,-0.1441,600,22.29
origines_communes,xgboost,latency,ms,5,0.9815,2.1746,5.7894,5.8106,-0.1351,600,10.02
