kpi,horizon_min,objectif,mae_validation,retenu
throughput,5,reg:squarederror,2.78224,False
throughput,5,reg:absoluteerror,2.71889,True
throughput,15,reg:squarederror,2.98617,False
throughput,15,reg:absoluteerror,2.8344,True
throughput,30,reg:squarederror,3.1018,False
throughput,30,reg:absoluteerror,2.86963,True
latency,5,reg:squarederror,1.11238,False
latency,5,reg:absoluteerror,0.98633,True
latency,15,reg:squarederror,1.3179,False
latency,15,reg:absoluteerror,1.02828,True
latency,30,reg:squarederror,1.43537,False
latency,30,reg:absoluteerror,1.03979,True
jitter,5,reg:squarederror,0.28555,False
jitter,5,reg:absoluteerror,0.27153,True
jitter,15,reg:squarederror,0.3316,False
jitter,15,reg:absoluteerror,0.28466,True
jitter,30,reg:squarederror,0.36716,False
jitter,30,reg:absoluteerror,0.28596,True
packet_loss,5,reg:squarederror,0.35113,False
packet_loss,5,reg:absoluteerror,0.25108,True
packet_loss,15,reg:squarederror,0.38899,False
packet_loss,15,reg:absoluteerror,0.25157,True
packet_loss,30,reg:squarederror,0.4345,False
packet_loss,30,reg:absoluteerror,0.25256,True
cell_load,5,reg:squarederror,3.86696,False
cell_load,5,reg:absoluteerror,3.8469,True
cell_load,15,reg:squarederror,3.91733,False
cell_load,15,reg:absoluteerror,3.89752,True
cell_load,30,reg:squarederror,3.94434,False
cell_load,30,reg:absoluteerror,3.92514,True
